,PDB,RFree,Rwork,Resolution,Spacegroup
14013,6tje,0.2614,,3.15,P 21 21 21
14014,5afo,0.196,,1.82,C 2 2 21
14015,4lfc,0.2089,,3.6,P 41 21 2
14016,3qfy,0.20839,,2.3,P 1 21 1
14017,5z5e,0.2425,,2.1,C 1 2 1
14018,1qht,0.312,,2.1,P 21 21 21
14019,2b8z,0.26368,,2.5,P 41 21 2
14020,6i51,0.1689,,1.4,C 1 2 1
14021,6i4y,0.29635,,2.91,I 2 2 2
14022,6ymt,0.2033,,1.58,C 2 2 21
14023,1w1k,0.272,,2.55,I 4
14024,5fe3,0.2369,,2.12,H 3
14025,4cs8,0.222,,2.1,P 1 21 1
14026,3ib1,0.244,,2.2,P 1 21 1
14027,3w10,0.309,,2.7,P 61 2 2
14028,1coy,,,1.8,P 21 21 21
14029,4l4f,0.2151,,1.29,P 21 21 21
14030,2awe,0.22846,,2.1,I 41 2 2
14031,8amn,0.2478,,2.46,P 1 21 1
14032,2w17,0.3001,,2.15,P 21 21 21
14033,5kzd,0.261,,2.33,P 21 21 21
14034,7lnq,0.2132,,1.73,P 43 3 2
14035,2qxu,0.25,,1.9,P 21 21 2
14036,6lct,0.2449,,2.55,P 21 21 2
14037,8cqu,0.1985,,1.8,P 1 21 1
14038,1yme,,,1.53,P 1 21 1
14039,5ant,0.251,,2.0,P 21 21 2
14040,2qlf,0.229,,2.8,P 32 2 1
14041,7z1j,0.2268,,1.85,P 1 21 1
14042,1i3t,0.256,,1.6,P 21 21 21
14043,3l2a,0.2253,,1.71,P 41
14044,4l9k,0.269,,2.4,P 1
14045,4f7w,0.2261,,2.1,P 21 21 21
14046,3t4q,0.237,,2.3,P 32 2 1
14047,6a18,0.2162,,2.48,P 65
14048,7ylo,0.2376,,1.83,P 3 2 1
14049,4kp5,0.216,,1.45,P 1 21 1
14050,8qv7,0.2588,,2.66,C 1 2 1
14051,6w5l,0.2668,,2.1,P 1
14052,1w8q,0.244,,2.85,P 1 21 1
14053,6bgf,0.219,,2.25,P 65
14054,3t54,0.2263,,1.9,P 21 21 21
14055,3cob,0.267,,2.2,P 21 21 21
14056,5w3b,0.228,,2.7,P 6 2 2
14057,1tbw,0.259,,2.15,H 3 2
14058,7b3r,0.1906,,1.83,P 21 21 21
14059,3kz0,0.2697,,2.35,P 21 21 2
14060,8faf,0.2237,,1.85,P 21 21 21
14061,4bi0,0.224,,2.84,I 2 2 2
14062,3f5j,0.21365,,1.95,P 21 21 21
14063,5t37,0.18532,,1.76,H 3
14064,3qha,0.234,,2.25,P 21 21 21
14065,6ln2,0.262,,3.2,P 21 21 21
14066,6i42,0.1778,,1.38,P 43 21 2
14067,6bfs,0.248,,2.0,P 1 21 1
14068,5l55,0.2246,,2.9,P 1 21 1
14069,2at8,0.195,,1.0,C 1 2 1
14070,3cpb,0.286,,2.7,P 1 21 1
14071,5afr,0.43658,,5.0,P 21 21 21
14072,5ala,0.2823,,2.73,P 21 21 21
14073,3thx,0.273,,2.7,P 1
14074,6qrg,0.1962,,1.84,P 21 21 21
14075,5tjl,0.224,,1.89,C 2 2 21
14076,1l7o,0.254,,2.2,P 21 21 21
14077,7t1h,0.2271,,1.9,P 1
14078,3ti6,0.183,,1.69,C 2 2 21
14079,3bh6,0.271,,2.6,P 21 21 21
14080,3qrp,0.2175,,2.35,P 21 21 21
14081,8amj,0.2428,,2.02,H 3
14082,2bfg,0.27,,2.4,P 21 21 21
14083,2a6a,0.235,,2.5,C 2 2 2
14084,7ln9,0.156,,1.13,P 43 21 2
14085,4lak,0.2399,,2.41,P 41
14086,6qsy,0.1792,,1.7,I 41 2 2
14087,1teq,0.173,,2.0,P 1 21 1
14088,5llv,0.2231,,1.7,P 21 21 21
14089,3lda,0.246,,2.5,P 61
14090,4qp9,0.227,,2.0,P 1 21 1
14091,2q94,0.238,,1.63,P 1 21 1
14092,4qmd,0.2046,,1.6,P 21 21 21
14093,2z42,0.21754,,1.6,P 21 21 21
14094,4w59,0.187,,1.39,P 32 2 1
14095,7amj,0.2104,,1.59,C 1 2 1
14096,3ffv,0.23,,2.0,H 3
14097,6lc8,0.189,,1.6,P 1 21 1
14098,5qlb,0.284,,1.96,C 1 2 1
14099,6qar,0.19624,,1.85,P 61 2 2
14100,6l24,0.263,,2.4,P 21 21 21
14101,4a31,0.2274,,2.09,P 1 21 1
14102,5f82,0.1339,,0.96,P 1 21 1
14103,5qyf,0.22324,,1.49,C 1 2 1
14104,7kpl,0.2496,,2.7,P 21 21 21
14105,8t8l,0.2245,,1.9,P 32 2 1
14106,1w8t,0.186,,1.4,C 1 2 1
14107,2qm6,0.19017,,1.6,P 1 21 1
14108,8bls,0.1992,,2.1,P 1 21 1
14109,2b1q,0.2,,2.2,P 65 2 2
14110,1yqz,0.206,,1.54,P 1 21 1
14111,5a1f,0.225,,2.1,P 65 2 2
14112,4f8i,0.24434,,2.0,I 2 2 2
14113,6ysp,0.1676,,1.38,P 21 21 21
14114,1t6e,0.2139,,1.7,P 21 21 21
14115,2qgc,0.174,,1.3,P 21 21 2
14116,3i6g,0.246,,2.2,C 1 2 1
14117,6cpb,0.147,,1.16,P 21 21 21
14118,4loo,0.2502,,1.95,P 1 21 1
14119,8w4b,0.2142,,2.15,I 4 3 2
14120,1w4o,0.248,,1.6,C 1 2 1
14121,1ics,0.237,,2.3,P 1
14122,3qrl,0.23508,,1.7,P 65
14123,1yuw,0.297,,2.6,P 1 21 1
14124,7ysz,0.237164,,2.3,P 41 21 2
14125,1l5a,0.259,,2.55,C 1 2 1
14126,8fb6,0.2363,,2.15,P 1 21 1
14127,7aw8,0.1901,,1.5,P 31 2 1
14128,8ic8,0.2213,,2.42,P 21 21 21
14129,2i4i,0.2182,,2.2,P 31 2 1
14130,8aya,0.2033,,1.74,P 21 21 21
14131,5a09,0.23944,,1.81,P 63
14132,7tek,0.2738,,2.2,C 1 2 1
14133,6qsp,0.1625,,1.45,P 1 21 1
14134,6ync,0.1729,,1.4,P 21 21 21
14135,3b9m,0.316,,2.7,C 1 2 1
14136,3ac1,0.22058,,1.99,P 21 21 21
14137,7con,0.1875,,1.46,P 21 21 21
14138,8i40,0.28406,,2.79,P 21 21 21
14139,8tg4,0.175,,1.37,P 1 21 1
14140,2z0f,0.257,,2.52,P 1 21 1
14141,5lkb,0.1939,,1.45,P 1 21 1
14142,5kvw,0.1956,,1.59,P 41 21 2
14143,5fau,0.169,,1.9,P 1 21 1
14144,6teq,0.2029,,1.44,P 1 21 1
14145,8ffu,0.2077,,2.04,P 1 21 1
14146,7aan,0.2405,,2.14,P 21 21 21
14147,8t29,0.2326,,3.13,I 2 2 2
14148,4qtb,0.175,,1.4,P 1 21 1
14149,6qyq,0.2507,,2.25,P 21 21 21
14150,6fgv,0.2664,,2.5,P 31 2 1
14151,5qn1,0.289,,2.2,C 1 2 1
14152,3qya,0.208,,2.13,P 41
14153,1boi,0.219,,2.2,P 21 21 2
14154,6b6y,0.22,,2.6,P 1
14155,7ax6,0.2485,,1.95,C 1 2 1
14156,1fh7,0.234,,1.82,P 41 21 2
14157,6qmi,0.2824,,1.78,H 3 2
14158,5lit,0.16688,,1.25,I 1 2 1
14159,4fhz,0.215,,2.01,P 32 2 1
14160,6kuw,0.262,,2.8,P 21 21 21
14161,8auj,0.1634,,1.57,P 1 21 1
14162,5z2x,0.1904,,1.98,P 61
14163,3qy9,0.225,,1.8,P 21 21 21
14164,5cim,0.2137,,3.32,P 21 21 21
14165,2bfe,0.181,,1.69,P 31 2 1
14166,6tcm,0.1903,,1.85,P 21 21 21
14167,5vz0,0.21814,,2.0,P 1
14168,6quk,0.1945,,1.58,P 21 21 2
14169,4bih,0.2563,,2.46,P 1 21 1
14170,8blr,0.14426,,1.4,P 3 2 1
14171,7qwv,0.2487,,2.26,P 61 2 2
14172,3lhd,0.28614,,2.59,P 21 21 21
14173,5i6v,0.232,,1.87,P 1 21 1
14174,1z38,0.235,,2.5,P 41 3 2
14175,4ceu,0.1549,,1.58,P 63 2 2
14176,4biz,0.2351,,2.65,P 21 21 2
14177,2a04,0.318,,2.95,P 21 21 21
14178,5kqi,0.1979,,1.87,P 21 21 21
14179,5tk6,0.218,,1.92,H 3 2
14180,2i4e,0.221,,1.75,P 1 21 1
14181,1loh,0.324,,2.0,P 21 21 21
14182,7bgf,0.2528,,2.8,P 32
14183,3t43,0.249,,1.95,P 1 21 1
14184,5l0a,0.288,,2.3,I 41 2 2
14185,5fjt,0.181,,2.11,H 3 2
14186,2qpj,0.268,,2.05,P 32 2 1
14187,5wad,0.286,,2.09,P 1 21 1
14188,1l4f,0.221,,2.1,P 21 21 2
14189,5vw8,0.21,,1.81,P 31 2 1
14190,4lo8,0.2489,,2.4,P 1 21 1
14191,4i58,0.251,,3.0,C 2 2 21
14192,3qcm,0.244,,2.4,P 1 21 1
14193,1l26,,,1.7,P 32 2 1
14194,3a2b,0.27,,2.3,P 41 21 2
14195,5cps,0.1786,,1.8,P 1
14196,5cjx,0.2862,,3.58,P 1 21 1
14197,2co1,0.254,,2.4,P 61 2 2
14198,6ll3,0.2462,,1.85,P 43 21 2
14199,2bk8,0.234,,1.69,I 41
14200,1i1n,0.213,,1.5,P 1 21 1
14201,6fcd,0.1842,,1.7,I 2 2 2
14202,6l4l,0.231,,2.0,C 1 2 1
14203,8aop,0.2272,,1.94,P 21 21 21
14204,1llp,,,1.7,P 21 21 21
14205,3ahz,0.14381,,1.34,C 1 2 1
14206,6w7d,0.311,,3.5,P 21 21 21
14207,6cps,0.2142,,1.93,P 65 2 2
14208,5ywe,0.2046,,1.68,P 1
14209,4z0d,0.242,,2.1,P 21 21 21
14210,8fda,0.2594,,2.2,P 21 21 21
14211,4z5y,0.1657,,1.56,P 43 21 2
14212,3ac5,0.2675,,2.5,P 21 21 21
14213,1f8e,0.221,,1.4,I 4 3 2
14214,4yt0,0.2624,,3.66,P 21 21 21
14215,2qp9,0.28819,,2.9,P 65 2 2
14216,8qlv,0.1749,,1.49,P 1 21 1
14217,3cew,0.246,,2.31,P 21 21 21
14218,5ksu,0.2491,,2.73,C 1 2 1
14219,5fho,0.2162,,2.3,P 21 21 21
14220,4ksi,0.1735,,2.2,P 63 2 2
14221,5tfk,0.244,,2.8,C 1 2 1
14222,7z2j,0.2146,,1.66,P 1 21 1
14223,3a9w,0.2092,,1.85,C 1 2 1
14224,5b78,0.1869,,1.4,P 21 21 21
14225,8cie,0.3098,,2.2,P 63 2 2
14226,2yqs,0.223,,2.3,P 21 21 21
14227,1kza,0.235,,1.74,P 21 21 21
14228,5afd,0.20122,,1.65,I 2 2 2
14229,6yva,0.2902,,3.18,P 62 2 2
14230,7w7r,0.2991,,3.46,C 2 2 21
14231,4kqp,0.1197,,0.95,P 1 21 1
14232,3vwc,0.2349,,1.5,C 1 2 1
14233,5a14,0.24017,,2.0,P 21 21 21
14234,4ldx,0.2593,,2.9,P 1 21 1
14235,4ln9,0.2536,,1.82,P 32
14236,6cg5,0.2417,,2.08,I 41
14237,3vyy,0.2618,,2.9,C 1 2 1
14238,1qi3,,,2.0,P 21 21 21
14239,5csw,0.282,,2.66,C 1 2 1
14240,5kwk,0.289,,1.9,P 1 21 1
14241,8i55,0.2023,,1.99,P 41
14242,6vxy,0.2447,,1.4,P 21 21 21
14243,2bd5,0.212,,1.8,P 21 21 21
14244,5qgp,0.2238,,2.09,P 3 2 1
14245,8cqs,0.182,,1.7,C 1 2 1
14246,5cp1,0.1952,,1.8,P 21 2 21
14247,4i23,0.279,,2.8,I 2 3
14248,5q9g,0.2212,,1.6,P 21 21 21
14249,6cla,0.32562,,2.8,P 43 21 2
14250,2b6y,0.21198,,2.4,P 32 2 1
14251,5lbw,0.2705,,1.9,P 21 21 21
14252,3fft,0.203,,2.21,P 21 21 21
14253,5adb,0.2549,,2.05,P 21 21 21
14254,5yl0,0.22039,,1.22,P 21 21 21
14255,3qug,0.257,,1.7,P 2 21 21
14256,2ajh,0.28432,,2.4,P 63 2 2
14257,3lbx,0.2994,,2.8,I 41
14258,5t1z,0.246,,2.1,P 1 21 1
14259,4a3f,0.1851,,3.5,C 2 2 21
14260,3bb4,0.277,,2.85,P 41 21 2
14261,1qb5,,,1.9,C 1 2 1
14262,246l,,,1.8,P 32 2 1
14263,2yqj,0.237,,2.31,P 1
14264,5a9j,0.265,,3.55,P 1 21 1
14265,4kqs,0.204,,1.97,P 41 21 2
14266,3bgb,0.239,,1.9,P 21 21 2
14267,3vvm,0.214,,1.7,P 21 21 21
14268,2ak4,0.278,,2.5,P 1 21 1
14269,8qvh,0.228,,2.24,P 65 2 2
14270,7fjg,0.2721,,2.72,I 2 2 2
14271,1tdl,0.181,,1.8,P 21 21 21
14272,1qhg,0.269,,2.5,P 65
14273,6t3m,0.1579,,1.38,C 1 2 1
14274,4lg1,0.2221,,1.8,P 1 21 1
14275,133d,,,1.8,P 21 21 21
14276,5t66,0.2341,,1.95,P 2 21 21
14277,5ada,0.2359,,1.98,P 21 21 21
14278,6ayh,0.222,,2.05,P 21 21 2
14279,5cgc,0.2867,,3.1,C 1 2 1
14280,6bir,0.2371,,2.3,C 2 2 21
14281,5tfm,0.246,,2.92,P 32 1 2
14282,4bhx,0.2238,,1.95,P 65
14283,6w2c,0.3695,,6.3,C 2 2 21
14284,3abd,0.24074,,1.9,P 1 21 1
14285,4qhj,0.196,,1.75,P 21 21 21
14286,8w79,0.2554,,2.7,F 4 3 2
14287,7bov,0.2658,,2.29,I 2 2 2
14288,2b5l,0.2988,,2.85,P 1 21 1
14289,5yzu,0.2554,,2.12,C 1 2 1
14290,3ld2,0.288,,2.5,C 2 2 21
14291,4ld0,0.3293,,3.75,P 32 2 1
14292,5bo1,0.259,,2.56,P 1 21 1
14293,5clh,0.162,,1.75,I 4 2 2
14294,5ad4,0.2663,,1.98,P 21 21 21
14295,1cpm,,,2.0,P 21 21 21
14296,5i1p,0.235,,1.4,P 1
14297,1bb3,0.231,,1.8,P 21 21 21
14298,2bdi,0.296,,3.0,P 1 21 1
14299,4z1i,0.285,,3.3,P 65
14300,4r0z,0.2342,,2.01,C 1 2 1
14301,5anm,0.25993,,2.85,P 32 2 1
14302,7kzy,0.204,,1.75,P 1 21 1
14303,2anv,0.1513,,1.04,C 1 2 1
14304,1yu7,0.21,,1.5,P 21 21 21
14305,5i0x,0.208,,1.5,P 1 21 1
14306,4yvz,0.2189,,2.5,P 4 21 2
14307,3w33,0.233,,1.7,P 21 21 21
14308,4cn2,0.2142,,2.07,C 1 2 1
14309,1adv,0.336,,3.2,P 21 21 21
14310,8azx,0.197,,1.04,P 21 21 2
14311,225l,,,1.9,P 32 2 1
14312,1ak1,0.243,,1.9,P 21 21 21
14313,5w7i,0.222,,2.11,P 64
14314,7a16,0.216,,1.9,C 2 2 21
14315,7qwh,0.2223,,1.57,C 1 2 1
14316,1kv9,0.189,,1.9,P 1
14317,5a5v,0.2653,,2.04,P 21 21 21
14318,8a0d,0.2619,,3.69,P 21 21 21
14319,3qq6,0.256,,1.9,P 21 21 21
14320,4cij,0.23457,,2.3,P 21 21 21
14321,8cn1,0.2462,,2.09,P 1
14322,1ids,,,2.0,P 1 21 1
14323,4l9o,0.2046,,1.6,P 1 21 1
14324,7lfk,0.2445,,1.6,P 1
14325,1aa0,0.259,,2.2,H 3 2
14326,6a5w,0.2624,,2.88,P 21 21 21
14327,3tew,0.216,,1.45,P 21 21 21
14328,5lcu,0.1915,,1.58,P 21 21 21
14329,4i6e,0.2871,,2.7,P 43
14330,8au6,0.2285,,2.0,C 2 2 21
14331,4arc,0.2572,,2.0,P 21 21 21
14332,5b7m,0.2041,,1.8,P 21 21 21
14333,6z24,0.1809,,1.25,P 21 21 2
14334,8f9i,0.2272,,1.8,P 1 21 1
14335,9f8x,0.1519,,1.5,P 1
14336,7w5s,0.1815,,1.76,P 21 21 21
14337,4qi6,0.273,,3.2,P 43 21 2
14338,5f5m,0.2691,,2.9,P 3 2 1
14339,4avp,0.2576,,1.82,P 1
14340,6a21,0.1897,,1.5,I 4 2 2
14341,3cqe,0.2681,,2.5,P 41 21 2
14342,3t5u,0.183,,1.75,P 1 21 1
14343,2bch,0.133,,1.1,P 31 2 1
14344,7qrc,0.2844,,2.18,P 1 21 1
14345,5bk6,0.1742,,1.59,P 2 21 21
14346,3ch8,0.25984,,1.9,P 32
14347,5qyg,0.21863,,1.67,C 1 2 1
14348,8a5k,0.2381,,2.3,P 21 21 21
14349,3fgn,0.25332,,1.85,P 21 21 21
14350,8b4d,0.2796,,2.64,C 1 2 1
14351,4cgf,0.2303,,1.7,P 31
14352,4lbj,0.178,,1.8,P 21 21 21
14353,6crn,0.2355,,2.5,P 1
14354,5anp,0.189,,1.4,P 1 21 1
14355,4wa2,0.2361,,2.5,P 1
14356,2af6,0.24292,,2.01,P 1 21 1
14357,7qpj,0.2364,,1.54,P 1 21 1
14358,3bgs,0.249,,2.1,H 3 2
14359,4fbb,0.2497,,1.8,C 1 2 1
14360,9coz,0.2269,,1.7,P 21 21 21
14361,8f8o,0.2297,,2.1,P 21 21 21
14362,7qwi,0.1945,,2.15,P 21 3
14363,4yxs,0.232,,2.11,P 21 21 21
14364,5aoc,0.241,,1.79,P 21 21 21
14365,5cm8,0.32188,,2.6,C 1 2 1
14366,1qdt,0.206,,2.1,P 21 21 21
14367,4fgg,0.2446,,2.3,P 61 2 2
14368,6azs,0.1742,,1.59,P 2 21 21
14369,6q93,0.215,,2.2,C 2 2 21
14370,3qz5,0.249,,2.5,P 1 21 1
14371,3qi9,0.275,,2.3,P 41 21 2
14372,5th7,0.237,,1.95,C 1 2 1
14373,4alk,0.1927,,1.9,P 1
14374,4ffi,0.2511,,2.3,P 21 21 21
14375,8w33,0.1924,,1.65,C 2 2 21
14376,1kv0,0.1645,,1.4,P 31 2 1
14377,4ql5,0.2091,,2.02,P 41 21 2
14378,2blc,0.28,,2.25,C 1 2 1
14379,7qxr,0.247,,2.05,P 1 21 1
14380,6qx1,0.2061,,2.65,P 61
14381,7b8f,0.2365,,1.62,P 21 21 21
14382,3axz,0.2427,,2.25,H 3 2
14383,5i5k,0.2436,,4.2,C 1 2 1
14384,4qvn,0.213,,2.9,P 1 21 1
14385,4b6w,0.20972,,2.35,P 41 21 2
14386,6qcb,0.1898,,1.55,C 2 2 21
14387,3cnr,0.24345,,1.9,P 61
14388,3idp,0.264,,2.7,P 41 21 2
14389,1r0f,0.2055,,1.6,H 3
14390,6fbu,0.281,,2.0,P 43 2 2
14391,7lj5,0.2521,,2.26,P 1 21 1
14392,8fbh,0.2313,,2.32,P 21 21 21
14393,5iak,0.199,,1.82,I 2 2 2
14394,7b30,0.1963,,2.1,C 1 2 1
14395,5q9k,0.2812,,1.78,P 21 21 21
14396,4z1z,0.2861,,3.2,P 1 21 1
14397,7yxr,0.2239,,2.5,P 61
14398,4l7m,0.236,,2.0,C 1 2 1
14399,4asy,0.259,,2.3,P 1 21 1
14400,4yyx,0.254,,1.79,P 21 21 21
14401,6chq,0.192,,1.79,I 2 3
14402,3ced,0.215,,2.15,I 4 2 2
14403,2qjy,0.251,,2.4,C 1 2 1
14404,2yp1,0.23,,2.31,P 21 21 2
14405,2qni,0.22067,,1.8,H 3 2
14406,8i2b,0.2375,,2.2,P 63
14407,1i5w,0.174,,1.4,P 21 21 21
14408,4qu0,0.183,,1.95,I 2 2 2
14409,4ce8,0.1405,,0.9,P 1 21 1
14410,2qsv,0.23285,,2.1,P 31 2 1
14411,8aak,0.282,,2.55,P 21 21 21
14412,2w93,0.213,,1.6,P 1
14413,2beq,0.241,,1.6,C 1 2 1
14414,2f96,0.20448,,2.09,P 1 21 1
14415,7w33,0.261,,2.39,I 4 2 2
14416,5l2m,0.238,,1.7,P 4 2 2
14417,3adi,0.3172,,3.2,P 43
14418,8qmi,0.2255,,1.5,C 2 2 21
14419,1i7e,0.261,,1.95,P 21 21 21
14420,7b2e,0.2315,,2.8,P 21 21 21
14421,6i24,0.20326,,1.43,P 64 2 2
14422,4f6g,0.2061,,1.64,P 21 21 21
14423,5aao,0.2622,,2.6,P 1 21 1
14424,3bjo,0.21686,,2.05,F 2 2 2
14425,6l2n,0.2557,,2.45,P 32 2 1
14426,6w7p,0.22,,1.6,P 43 21 2
14427,4a67,0.2194,,2.1,P 31 2 1
14428,4qvq,0.219,,2.6,P 1 21 1
14429,7qbh,0.177,,1.22,P 1 21 1
14430,3qve,0.192,,2.04,P 31 2 1
14431,5le7,0.2579,,2.1,C 1 2 1
14432,4cmx,0.2388,,2.36,P 21 21 21
14433,2ieo,,,1.53,P 21 21 2
14434,3lak,0.274,,2.3,C 2 2 21
14435,5a7f,0.18762,,1.86,H 3
14436,4bgb,0.1828,,1.34,P 21 21 21
14437,6i8f,0.1977,,2.11,P 21 21 21
14438,4qhe,0.19286,,1.4,P 21 21 2
14439,5i0s,0.2015,,1.3,P 43 21 2
14440,6aqy,0.2403,,2.55,P 1 21 1
14441,6krg,0.173,,1.4,I 41
14442,4yze,0.255,,2.2,P 21 21 21
14443,3qv7,0.244,,2.7,C 1 2 1
14444,3t78,0.191,,1.6,P 21 21 21
14445,3ago,0.162,,0.99,P 1 21 1
14446,3qtt,0.251,,2.6,P 43
14447,1yzn,0.23462,,2.06,P 21 21 21
14448,3aux,0.268,,2.8,P 3 2 1
14449,2vxj,0.245,,1.9,P 1
14450,2a1l,0.257,,2.18,P 43 21 2
14451,2qeb,0.239,,2.0,P 43
14452,2ae6,0.25929,,2.19,P 32
14453,7qk9,0.215,,1.78,P 21 2 21
14454,7t13,0.239,,3.15,C 1 2 1
14455,1i2m,0.223,,1.76,P 1
14456,5t9f,0.2058,,1.99,P 1
14457,6ymj,0.2325,,2.04,C 1 2 1
14458,1fio,0.265,,2.1,P 21 21 21
14459,9bpf,0.2783,,2.0,P 1 21 1
14460,5l2p,0.2305,,2.56,P 1 21 1
14461,5azx,0.2493,,1.58,P 21 21 21
14462,2qo9,0.211,,1.55,P 1 21 1
14463,1qlg,0.265,,2.2,P 21 21 21
14464,4ar8,0.26793,,2.05,P 21 21 21
14465,1ib6,0.244,,2.1,C 1 2 1
14466,1l49,,,1.8,P 32 2 1
14467,2w27,0.275,,2.8,P 21 21 21
14468,5kyw,0.257,,3.2,P 21 21 21
14469,7cpq,0.2666,,2.6,P 21 21 21
14470,1f9d,0.189,,2.3,P 21 21 21
14471,2a62,0.346,,4.5,P 41 2 2
14472,3ayn,0.2004,,2.7,P 62
14473,6l4p,0.2139,,1.7,P 21 21 21
14474,7fdm,0.2684,,2.5,P 32
14475,1ahp,0.278,,3.0,C 1 2 1
14476,6ajn,0.3381,,3.3,P 21 21 2
14477,2w9s,0.23664,,1.8,P 1 2 1
14478,5yu9,0.2215,,1.95,C 1 2 1
14479,2cgf,0.208,,2.2,P 43 2 2
14480,4qyr,0.207,,2.9,P 31 2 1
14481,4lee,0.2421,,3.0,P 1 21 1
14482,5lgp,0.2193,,2.04,P 21 21 2
14483,8yrv,0.2104,,1.7,C 1 2 1
14484,6t1b,0.1669,,1.2,P 21 21 21
14485,4ajo,0.18716,,1.96,P 1 21 1
14486,1l4z,0.262,,2.8,P 65 2 2
14487,7csm,0.1924,,1.25,P 21 21 21
14488,5qen,0.209,,1.78,P 31 2 1
14489,4qrc,0.207,,1.9,P 1 21 1
14490,8qtc,0.25,,3.5,P 65 2 2
14491,6yr1,0.2792,,2.3,I 41 2 2
14492,6kyb,0.267,,2.8,P 65
14493,2qy9,0.233,,1.9,P 1 21 1
14494,6aj8,0.2706,,2.4,P 21 21 21
14495,4qkn,0.2483,,2.2,H 3
14496,3w7u,0.236,,1.99,P 1 21 1
14497,5ahi,0.2471,,2.0,P 61 2 2
14498,6the,0.2344,,2.87,I 2 3
14499,8td7,0.1943,,1.61,C 1 2 1
14500,7l0j,0.2679,,2.6,P 41 21 2
14501,6qt3,0.2914,,1.8,H 3 2
14502,2cex,0.28,,2.2,C 1 2 1
14503,2f8z,0.28,,2.6,P 41 21 2
14504,4w6s,0.276,,3.1,P 43 21 2
14505,8i64,0.25592,,2.26,C 1 2 1
14506,1bql,0.291,,2.6,P 1 21 1
14507,5cgo,0.2389,,1.5,P 1
14508,1b97,0.279,,1.9,P 1
14509,6a8n,0.2561,,2.49,P 31 2 1
14510,2qg7,0.29,,2.41,P 1 21 1
14511,6vv2,0.2308,,2.95,H 3 2
14512,6iab,0.2019,,2.0,H 3
14513,6t5y,0.1487,,1.3,P 43 3 2
14514,7lbw,0.2321,,2.84,P 21 21 2
14515,3bba,0.2612,,3.2,P 41 21 2
14516,5qqn,0.2786,,2.26,P 65 2 2
14517,5kue,0.212,,1.5,P 65
14518,5cpl,0.1599,,1.57,P 2 21 21
14519,1aev,,,2.1,P 21 21 21
14520,8csc,0.2192,,1.9,C 2 2 21
14521,7aob,0.205,,2.12,P 21 21 21
14522,8t2o,0.2432,,3.29,I 2 2 2
14523,1q9m,0.259,,2.3,P 21 21 21
14524,5lb4,0.26,,1.98,P 1 21 1
14525,6atg,0.2069,,1.8,P 1 21 1
14526,1w2y,0.194,,1.65,P 21 21 21
14527,1l8b,0.252,,1.8,P 21 21 21
14528,7qh8,0.2479,,1.92,P 41 21 2
14529,3b5o,0.174,,1.35,P 63
14530,4ylw,0.1782,,1.79,P 32 2 1
14531,1ibh,0.287,,2.0,H 3 2
14532,1yml,0.208,,1.7,P 21 21 21
14533,7bnt,0.1839,,1.32,P 41 21 2
14534,8ff6,0.2624,,2.49,P 1
14535,6b2j,0.2233,,2.21,P 6
14536,9arc,0.2269,,1.77,P 2 21 21
14537,4qci,0.2475,,2.3,P 1 21 1
14538,4z3u,0.273,,2.71,P 43 21 2
14539,6i8c,0.22186,,1.92,P 21 21 21
14540,5qik,0.1904,,1.58,P 21 21 21
14541,5b3r,0.23199,,2.0,P 2 2 21
14542,2qsq,0.203,,1.95,H 3
14543,3qvv,0.276,,2.35,P 21 21 21
14544,5ahl,0.2038,,1.95,I 4 2 2
14545,7qug,0.2678,,2.6,P 43 21 2
14546,6q9w,0.2404,,1.55,P 2 2 21
14547,1t4o,0.27637,,2.5,C 1 2 1
14548,3hz4,0.24659,,2.3,P 32 2 1
14549,4qup,0.217,,1.7,P 63 2 2
14550,5i9k,0.289,,3.5,P 6
14551,5yr4,0.2266,,1.82,P 1 21 1
14552,7avh,0.17027,,1.35,P 1 21 1
14553,4kwd,0.2263,,1.86,P 31 2 1
14554,2f5i,0.269,,2.3,P 43
14555,7qfk,0.23097,,2.48,P 21 21 21
14556,2i6g,0.233,,1.9,P 21 21 2
14557,4i1m,0.238,,2.8,P 42 21 2
14558,4aqy,0.235,,3.5,P 41 21 2
14559,5cqq,0.2602,,3.1,P 21 21 21
14560,4lg5,0.29549,,2.88,P 21 21 21
14561,3a95,0.24292,,1.5,P 43 21 2
14562,9art,0.23148,,1.49,P 1
14563,8qcc,0.2353,,1.9,C 1 2 1
14564,1bab,,,1.5,P 1 21 1
14565,3kz7,0.222,,1.95,P 41 21 2
14566,7l7d,0.231,,2.5,P 1 21 1
14567,1axy,0.2,,1.95,C 1 2 1
14568,4acm,0.2184,,1.63,P 21 21 21
14569,5azc,0.2507,,1.9,P 21 21 21
14570,3wa0,0.2638,,2.31,P 21 21 21
14571,6z4i,0.2171,,1.6,P 1 21 1
14572,3i3j,0.275,,2.33,P 1 21 1
14573,3w4t,0.2169,,2.1,C 1 2 1
14574,3aeu,0.257,,2.9,P 1 21 1
14575,4cem,0.25087,,2.6,P 65
14576,1bq5,0.226,,2.05,P 63
14577,7cht,0.2587,,2.4,I 2 2 2
14578,18gs,0.238,,1.9,C 1 2 1
14579,1q9d,0.246,,2.35,P 21 21 2
14580,8ta0,0.2092,,1.95,P 1 21 1
14581,3ci1,0.204,,1.9,H 3
